S1	S2	S3	S4	S5	S6	S7	S8	S9	S10
V1	-5.904	20.456	17.024	13.004	12.568	-1.312	1.97	6.866	24.322	16.089
V2	18.44	8.706	4.108	7.067	17.777	15.625	5.453	13.727	12.042	14.8
V3	3.783	2.235	31.736	1.535	9.034	8.441	-5.419	33.345	12.371	2.729
V4	7.213	10.952	23.64	4.396	21.28	16.167	17.905	14.638	-12.978	2.983
V5	11.441	21.256	18.407	6.042	3.413	16.977	8.475	17.941	6.769	-15.843
V6	4.206	9.706	2.372	13.808	15.516	8.159	1.532	16.91	4.83	7.594
V7	-13.186	-8.248	7.592	16.646	8.032	4.152	12.591	10.488	10.381	-4.335
V8	23.324	-6.883	35.454	30.58	-2.485	10.299	-1.938	0.519	1.673	7.358
V9	14.689	-0.568	0.456	14.547	-0.4	6.302	24.159	31.344	11.309	-6.903
V10	-7.459	16.403	-7.371	23.69	7.296	22.009	6.538	24.669	28.621	22.611
