cluster	gene	is.driver	P.vaf	R.vaf	P.ccf	R.ccf	P.ref.count	P.var.count	P.depth	R.ref.count	R.var.count	R.depth	P	R
1	SMC3	TRUE	50.28	49.13	100.56	98.26	3027	2611	5639	2035	1990	4024	50.28	49.13
1	PTPRT	TRUE	45.24	45.31	90.48	90.62	2159	1799	3958	1715	1579	3294	45.24	45.31
1	-	FALSE	43.83	41.37	87.66	82.74	2931	2364	5296	2224	1501	3725	43.83	41.37
1	-	FALSE	41.23	46.47	82.46	92.94	2203	1658	3862	1733	1587	3320	41.23	46.47
1	-	FALSE	48.91	43.11	97.82	86.22	2534	2358	4893	2605	1873	4479	48.91	43.11
1	-	FALSE	47.54	44.45	95.08	88.9	2539	2271	4810	2325	2041	4366	47.54	44.45
1	-	FALSE	48.12	45.47	96.24	90.94	2210	2406	4616	1981	1732	3713	48.12	45.47
1	-	FALSE	47.03	41.13	94.06	82.26	2387	2081	4468	1884	1284	3169	47.03	41.13
1	-	FALSE	51.04	45.38	102.08	90.76	2225	2348	4573	2097	1717	3814	51.04	45.38
1	-	FALSE	43.98	40.24	87.96	80.48	3070	2423	5493	2496	1696	4192	43.98	40.24
1	-	FALSE	45.57	37.9	91.14	75.8	2437	2260	4697	2135	1423	3558	45.57	37.9
1	-	FALSE	46.18	40.58	92.36	81.16	2627	2285	4912	2134	1426	3559	46.18	40.58
1	-	FALSE	48.48	44.15	96.96	88.3	2693	2504	5197	1844	1476	3320	48.48	44.15
1	-	FALSE	42.89	41.83	85.78	83.66	2398	2123	4520	2030	1497	3527	42.89	41.83
1	-	FALSE	47.46	41.89	94.92	83.78	2459	2230	4689	2305	1665	3971	47.46	41.89
1	-	FALSE	42.73	41.25	85.46	82.5	3002	2266	5268	2228	1625	3852	42.73	41.25
1	-	FALSE	46.92	39.59	93.84	79.18	2985	2640	5625	3098	1969	5067	46.92	39.59
1	-	FALSE	44.75	39.7	89.5	79.4	3092	2555	5647	2784	2069	4853	44.75	39.7
1	-	FALSE	47.2	43.17	94.4	86.34	2803	2592	5395	2744	2224	4969	47.2	43.17
1	-	FALSE	49.73	42.49	99.46	84.98	3105	3223	6328	2752	2039	4791	49.73	42.49
1	-	FALSE	52.37	46.99	104.74	93.98	2418	2807	5226	2319	1932	4250	52.37	46.99
1	-	FALSE	45.82	42.45	91.64	84.9	3228	2746	5974	2558	1954	4513	45.82	42.45
1	-	FALSE	47.95	42.98	95.9	85.96	2936	2929	5866	2770	2271	5041	47.95	42.98
1	-	FALSE	46.6	39.66	93.2	79.32	2802	2662	5464	2317	1472	3789	46.6	39.66
1	-	FALSE	50.73	42.89	101.46	85.78	2315	2369	4684	2067	1575	3642	50.73	42.89
1	-	FALSE	48.55	39.78	97.1	79.56	2224	2117	4341	1780	1431	3212	48.55	39.78
1	-	FALSE	47.2	40.25	94.4	80.5	2481	2194	4675	1765	1227	2991	47.2	40.25
1	-	FALSE	47.51	45.06	95.02	90.12	2650	2399	5049	1550	1212	2762	47.51	45.06
1	-	FALSE	52.29	40.51	104.58	81.02	2278	2596	4874	2145	1494	3638	52.29	40.51
1	-	FALSE	46.33	38.46	92.66	76.92	3482	2991	6473	2605	1716	4321	46.33	38.46
1	-	FALSE	51.37	46.95	102.74	93.9	2694	2977	5671	1912	1569	3481	51.37	46.95
1	-	FALSE	46.97	43.79	93.94	87.58	2583	2228	4811	2481	2013	4495	46.97	43.79
1	-	FALSE	45.24	40.21	90.48	80.42	2660	2058	4717	2106	1368	3474	45.24	40.21
1	-	FALSE	48.09	40.45	96.18	80.9	2823	2527	5350	2275	1648	3923	48.09	40.45
1	-	FALSE	61.6	53.12	123.2	106.24	929	873	1802	1359	961	2320	61.6	53.12
1	-	FALSE	38.63	35.55	77.26	71.1	3614	2766	6381	2623	1528	4150	38.63	35.55
1	-	FALSE	46.36	45.3	92.72	90.6	2078	1883	3961	1261	1065	2327	46.36	45.3
1	-	FALSE	46.08	44.07	92.16	88.14	2927	2301	5228	2191	1609	3800	46.08	44.07
1	-	FALSE	50.81	41.34	101.62	82.68	2457	2778	5236	2875	2128	5004	50.81	41.34
1	-	FALSE	49.68	44.83	99.36	89.66	2631	2799	5430	2157	1792	3950	49.68	44.83
1	-	FALSE	47.58	41.87	95.16	83.74	2246	2211	4457	1869	1467	3335	47.58	41.87
1	-	FALSE	47.08	40.74	94.16	81.48	2683	2415	5098	2669	1934	4603	47.08	40.74
1	-	FALSE	41.73	42.13	83.46	84.26	2233	1739	3971	1872	1307	3178	41.73	42.13
1	-	FALSE	43.57	39.28	87.14	78.56	2985	2346	5331	2760	1854	4614	43.57	39.28
1	-	FALSE	45.66	42.25	91.32	84.5	3738	3539	7277	2459	1924	4383	45.66	42.25
